cat1,cat2,name,raised,desc,ticker,start,end,www
singapore,,ci chain,,"Cell Intelligence Chain (CIC) is cutting edge technology combining biotechnology and blockchain infrastructure. CI is both transparent and trustworthy, and utilizes fast and easy token integration. CI Chain offers near-zero transaction fees which will be an ideal solution for decentralized apps, token issuances and token integrations for small and big businesses. CI technology allows us to use plant stem cell technology to create products that improve users' health.",CIC,1st Sep 2018,1st Oct 2018,https://cellintel.io,Singapore,https://cellintel.io/wp-content/uploads/2018/03/CIC_whitepaper_V3.9.pdf
singapore,,cloudbric,0.98675,"Cloudbric is a decentralized universal security platform featuring enterprise-grade website, mobile device and crypto asset security, as well as access to a community driven threat intelligence database all powered through a new technology called VISION (patent pending), a CNN-based deep learning AI-tech, featuring one of the most accurate (low false positive rated) engines on the market. Our goal is to not only secure the web in general, but to secure the entire blockchain experience for users and businesses alike whether it’s protecting global exchanges, securing cryptocurrency assets, etc. so that we can help further encourages the widespread adoption of this great technology to masses. Cloudbric is currently a market leading web application firewall as a service vendor in South Korea and Singapore. We boast multiple awards (SC Magazine, Stevie Awards, Info Security PG, more), are industry-certified, and have more than 10,000 customers and partners.",CLB,22nd Oct 2018,31st Oct 2018,https://www.cloudbric.io,Singapore,https://ico.cloudbric.io/upload/file/Cloudbric_Whitepaper_EN.pdf
singapore,,color,,"Color is the next generation platform for high-performance sophisticated Decentralized Applications. At Color, we’re building a platform to host sophisticated dApps to attract users and build a community. These dApps employ human-centered design so non-technical users may adopt the platform. By removing the technical barriers to entry and making dApps easy, anyone should be able to use them. Think Color.",COL,19th Sep 2018,22nd Oct 2018,https://www.colors.org,Singapore,https://www.colors.org/Color_Platform_White_Paper_v0.9.1.pdf
singapore,,ehalal,,"EHalal develops Halal Enterprise Resource Planning & Supply Chain Management Systems and follows the Halal standard set by the Organization of Islamic Cooperation (OIC) and the Standards and Metrology Institute for the Islamic countries (SMIIC). The aim of the eHalal service is to offer a cost-effective solution to halal Certification authorities or small to medium sized companies on a limited annual budget. The system runs on several dedicated cloud servers (Ubuntu Linux 16.04r) and alerting each member of any contamination and violation in either the food, pharmaceutical or the logistical Halal supply chain. EHalal provides an Enterprise Resource Planning and Halal Supply Chain Management System under the Software as a Service business model for small and medium sized companies on our eHalal cloud servers. Phase 1 has been launched on June 15 2018 including data centers in Singapore, Malaysia, Turkey, the United Kingdom and Germany.",HAL Token,21st Sep 2018,14th Oct 2018,https://ehalal.io,Singapore,https://ehalal.io/wp-content/uploads/2018/08/eHalal-Whitepaper-Vers-2.1.pdf
singapore,,elamachain,,"ELAMACHAIN is an emotional AI platform integrating blockchain technology and AI services to meet the needs of individual users and businesses in connection with existing ecosystem. ELA Coin(ELAC) fuels that ecosystem built on AI designed to answer human emotions, while it provides maximized utility to users of ELAMACHAIN platform. ELAMACHAIN’s ecosystem and scalability covers the territory of the “real-world” untouched by precedent blockchain projects, ranging from application of AI services and practical – and convenient – usage of cryptocurrency in daily lives and businesses.",ELAC,6th Aug 2018,1st Oct 2018,https://www.elamachain.io,Singapore,https://www.elamachain.io/assets/files/ELAmachain_Whitepaper_en.pdf
singapore,,eternal trusts,,"Eternal Trusts is the world's first fiduciary crypto protocol for creating decentralized apps that securely administer crypto assets through collective decision-making. Eternal Trusts Protocol replicates the traditional ""purpose trust"" framework with crypto technologies, making it flexible, transparent, and affordable for the end user. The ET Protocol is open to any business owner, financial service provider, trustee, or family office interested in accepting cryptocurrencies, integrating blockchain into its business processes, and offering a brand new model of trusted asset administration to their clients. ET Protocol is powered by EOS.IO, one of the fastest blockchain protocols with low transaction fees, and Hyperledger by IBM.",ETT,1st Jun 2018,1st Oct 2018,https://eternaltrusts.io/token,Singapore,https://eternaltrusts.com/docs/wpen.pdf
singapore,,extradecoin,1.739528,"Extradecoin is a cryptocurrency trading platform. Investors can trade crypto-crypto on the exchange. Extradecoin is established with the desire to provide quality, reliable and safety financial platform for investors. In addition, we are eager to bring the latest technology platforms with the best UI experience on the Extradecoin platform, and at the same time build ecosystems to maximize the benefits for the community.",ETE,15th Sep 2018,15th Oct 2018,https://extradecoin.com,Singapore,https://drive.google.com/open?id=1m8pfxTT5WmQa5uqPEFypdLqzZ48A-D-e
singapore,,fanfare,9.0,"A community-based two-sided platform for creating, curating and converting consumer-generated videos into instant Shoppable Videos for brands, Fanfare is purpose-built from ground up to enable Social Commerce. Its building blocks are conceived and created specifically with Social Commerce and Shoppable Videos in mind from the start. The features and functionalities have been well-thought out and designed precisely to help brands and consumers connect more intimately, by facilitating an integrated two-way Brand-Consumer engagement, so that brands can expand their relationships with their consumers to maintain trust, familiarity, and positivity. Fanfare’s unique feature is enabling a brand to convert any Consumer-Generated Video into a Shoppable Video with ease. Users can also easily post and share videos on Fanfare like on any social media platform. The added incentive is that brands can now accurately and cost-effectively add a BUY Button to any of these consumer-generated videos on Fanfare, converting them into instant Shoppable Videos. The advantages are that the content creator will get rewarded and the brands can harness the power of Consumer-Generated Videos to build their image, promote their products and drive immediate sales, or for lead generation, while at the same time, creating their own library of viral consumer-generated videos aggregated within their own channel.",FAN,17th Aug 2018,31st Oct 2018,https://tokensale.fanfare.global,Singapore,https://tokensale.fanfare.global/files/Fanfare_Whitepaper.pdf
singapore,,foresting,22.734,"Foresting makes it possible for content creators from all over the world to get rewarded. The concept of this new social media token can turn your content into a currency. Foresting is based on the creation of bitcoin and a philosophy shared by Satoshi Nakamoto and John Rawls on a more fair society. Accordingly, the Foresting network solves the asymmetry of the information that is prevalent in our society, pursues fair contracts, distributes them according to their ability, and shares active contributions with one another. Foresting is a blockchain based social media platform that deviates from the distribution system of traditional social media platforms. It provides a fair value distribution system for users who are the true owners of the platform. They deliver content through blockchain technologies and contribute to platforms in a variety of forms.",PTON,10th Sep 2018,10th Oct 2018,https://foresting.io,Singapore,https://forestingnetwork.com/whitepaper/FORESTING_Whitepaper_Eng_Ver.0.92.pdf?ver0.2
singapore,,infliv,,"Infliv token will be used as a primary payment method for infliv excange, These are the following features of the exchange. INFLIV presenting world's first subscription (membership)-based cryptocurrency trading platform which still allows to trade for a full month, without TRADING FEE. We aim to provide a fast and secured trading experience to our customers in BTC,ETH,USDT and IFV trading options, Infliv prioritizes security of funds and user information by requiring users to enable 2FA using Google Authentication, or a U2F Security Key. To protect security of funds, majority of system funds are stored in cold wallets and only approx. 0.5% of crypto assets are accessible in hot wallets for day-to-day platform operations.",IFV,20th Aug 2018,1st Oct 2018,https://www.infliv.com,Singapore,https://www.infliv.com/whitepaper/Infliv_whitepaper_en.pdf
singapore,,lambda,15.2,"Lambda is a high-speed, secure and scalable blockchain infrastructure project. Through the logical decoupling and separate implementation of Lambda Chain and Lambda DB, we provide infinitely scalable data storage capabilities to decentralized applications and achieve Multi-chain data cooperative storage, cross-chain data management, data privacy protection, data ownership proof, distributed intelligent computing and other services. Additionally, as the underlying service of blockchain, Lambda Chain provides millions of requests per second (RPS) through Sharding technology, which can grow as the scale of the system expands; and it also offers technology service capabilities for future unlimited expansion through sub-chain technology.",LAMB,19th Sep 2018,2nd Oct 2018,http://lambda.im,Singapore,http://www.lambda.im/doc/Lambda-WhitePaper-en.pdf
singapore,,matox,,"MATOX is a fully audited Ethereum based ERC20 utility token that is used for exchange fees on the MATOX Exchange",MAT Token,24th Sep 2018,30th Oct 2018,https://www.matox.exchange,Singapore,https://matox.exchange/doc/mat-wp.pdf
singapore,,mib,,"MIB coin is a Mobile Mining based Blockchain that has constructed an ecosystem that minimizes the maintenance of Blockchain Network. At this juncture, we would like to present MIB Coin, which will provide opportunities to participate in mining and to connect with more businesses as 'whoever, wherever and whenever' using mobile device via an innovative SmartX blockchain platform. MIB Coin's blockchain network is maintained by a smartphone hash. Assuming a smartphone is working 24 hours a day for a year, it will use approximately $10 worth of electricity. Compared to the power consumption of the existing blockchain miners, this is a 99.24% improvement, offering greater eco-friendliness, lower cost and higher accessibility. This solution will improve mining participation in areas with unstable power production, such as Central Asia, Africa, South America, and South East Asia.",MIB,20th Jul 2018,18th Oct 2018,https://www.mibcoin.io,Singapore,https://drive.google.com/file/d/1V8vJfmtR6pxAc1JwHMAPCJXqdVsTM_VF/view
singapore,,moneynet,,"We are proud to introduce MONEYNET, one of the most prominent crypto online communities in South Korea. MONEYNET is an incentive based cryptocurrency community where members can share investment information and acquire a reward. Members can freely share information such as cryptocurrency chart analysis, Altcoin buy/sell target price, promising ICO recommendations and get a reward as other members who think the information is valuable. Unlike other communities where members cannot get rewarded for sharing information, MONEYNET has a distinct feature that gives users an opportunity to receive a monetary reward (cryptocurrency) depending on how many other members like the information.",MNC,20th Aug 2018,13th Oct 2018,https://moneynet.io,Singapore,https://moneynet.io/wp-content/uploads/2018/08/MONEYNET_WhitepaperEN.pdf
singapore,,phenomenal network,,"The first blockchain-powered affiliate revolution by rewarding qualified affiliates and benefiting both ad networks and advertisers.",PN,30th Sep 2018,20th Oct 2018,https://phenomenal.network,Singapore,https://phenomenal.network/Phenomenal_Network.pdf
singapore,,starcappays,,"StarCap Pays Social Business Network. Using StarCapPays allows companies and entrepreneurs to increase the audience of their business, remove the barriers between language groups and get the message out to millions of potential customers around the world.",SCC Token,15th Sep 2018,15th Oct 2018,http://starcappays.info,Singapore,http://starcappays.info/wp-en.pdf
singapore,,the man cave project,,"We want to empower men with the clarity and abundance mindset to go out and achieve anything they can dream up or think of. Our main aim here is to create an awesome network of men that empower each other.",BROCOIN,1st Sep 2018,1st Oct 2018,https://themancaveproject.com,Singapore,https://themancaveproject.com/wp-content/uploads/2018/08/The-Man-Cave-Whitepaper-1.pdf
singapore,,tixguru,8.431924,"TIX with total amount up to 300mln are issued by Tixguru Pte. Ltd, a registered Singapore Company. TIX is a pass in the ecosystem for getting services and a core incentive mechanism. TIX will be rewarded to incentivize positive behaviors and motivate professional and regular investors to improve the ecosystem.",TIX Ещлут,1st Jul 2018,30th Oct 2018,https://i.tixguru.co,Singapore,https://storage.googleapis.com/tixguru/whitepaper/en.pdf
singapore,,virtuse exchange,,"Virtuse Exchange bridges cryptocurrencies with the $300 trillion global financial market.",VIRT,1st Oct 2018,31st Oct 2018,https://www.virtuse.com,Singapore,https://virtuse.com/public/pdf/whitepaper.pdf
singapore,,w green pay,,"W Green Pay (WGP), globally first blockchain rewarding individual’s Greenhouse Gas (GHG) reduction efforts. WGP is the reward method for HOOXI app of W-Foundation (nonprofit international organization)'s HOOXI, Korea's government-backed GHG reduction campaign. HOOXI app will sustain its business by trading its carbon emission units based on the aggregated GHG reduction data in Korea's KETS (Korea's Emissions Trading Scheme) market. Systemically embedded demand for WGP supports its market liquidity and value.",WGP,1st Oct 2018,2nd Oct 2018,http://wpay.sg,Singapore,http://wpay.sg/WGreenPay-whitepaper-v2.0.pdf
singapore,,watermelonblock,,"Access to information is just one hurdle investors face when participating in cryptocurrency and blockchain markets. Investors spend countless hours sourcing information and trading all based on extensive market data; a challenging and time-consuming process. WatermelonBlock is a data analytics company with a suite of products that provide cryptocurrency insights to the consumer FinTech market using a combination of sentiment analysis, taken from social media, in addition to traditional technical analysis. WatermelonBlock evaluates the degree and volume of positive or negative sentiment. Weight is added to sentiment by social media content, posts and author influence. WatermelonBlock’s AI then creates a ranking of coins and ICOs based on an internal system unique to WatermelonBlock. This known as the Melon Score. The initial app will include token use, WMB. WatermelonBlock operates on the NEM Blockchain and co-operates with IBM Watson’s AI to process and analyse big data.",WMB,27th Jul 2018,1st Oct 2018,https://watermelonblock.io,Singapore,https://watermelonblock.io/wp-content/uploads/2018/06/WatermelonBlock_White_Paper_v1.pdf
singapore,,xchangecoin,,"XchangeCoin (XCC) believes that the road to mass adoption for crypto will be when changing your crypto into currency is as easy as going to your local supermarket or store. In Asia and Africa selling your crypto can take approximately 7 – 10 days, this also requires exchange fees, bank fees and transfer fees. With this is mind XchangeCoin (XCC) will build a network of retail stores / kiosks that will allow users in Asia and Africa to change crypto into currency at convenient XchangeCoin locations, options such as changing crypto into currency as well as allowing the customer to send crypto which can be converted to currency across the country to friends and family. The end game is to have stores / kiosks in America and Europe as well, allowing crypto to take on mass adaption due to the ease of transferring crypto to currency.",XCC,30th Aug 2018,30th Oct 2018,https://xchangecoin.co,Singapore,https://xchangecoin.co/whitepaper.pdf
singapore,,zue,3.0,"ZUEN Chain redefines the total wellness industry by cryptonizing the platform with a global cryptographic token “ZUE”, powered by the Blockchain Technology. We aspire to be the world’s number one alliance platform of choice for partners who wish to bring their companies to the next level on a global scale. The ZUEN Chain ecosystem is decentralized and allows providers to connect with consumers efficiently in a trusted and transparent approach. ZUEN Chain adds a new paradigm to the Global Total Wellness Industry. ZUEN Chain will provide a number of smart contract templates that will be used to facilitate the sale mechanism. The peer-to-peer structure is the perfect fit for the decentralized nature of the ZUEN-CHAIN ecosystem and has the benefit of handing over the power back to the people participating in the ecosystem",ZUE,27th Sep 2018,30th Oct 2018,http://zuenchain.io,Singapore,https://zuenchain.io/wp-content/themes/crypterio/assets/images/pdf/ZUENChain_WhitePaper6.0.pdf
slovenia,,gledos,,"GLEDOS (Global Education Solution) is a blockchain-based answer to a raising demand for a tailor-made and relevant on-demand education for the modern age. The platform provides a single-place-to-learn solution with education pathways, recommended by the leading AI algorithms. GLEDOS is a platform for content providers to publish their online lectures. GLEDOS’s main differentiating quality is derived from the interactive exchange of information between students and businesses, smart contracts, and built-in artificial intelligence engine to help navigate the students’ learning pathway.",GLX,6th Sep 2018,6th Oct 2018,https://gledos.io,Slovenia,https://gledos.io/docs/gledos-white-paper.pdf
slovenia,,the 4th pillar,1,"4th Pillar is a technology infrastructure, where we are developing several revolutionary DLT-based products to solve challenges in the exchange of digital assets and recruitment. The project goal is to become an independent DLT eDelivery, professional identity and recruitment infrastructure for individuals and organizations. 4th Pillars first product is FOURdx.",FOUR,15th Oct 2018,31st Oct 2018,https://www.the4thpillar.io,Slovenia,https://www.the4thpillar.io/documents/whitepaper.pdf
slovenia,,thrill,,"Thrill is blockchain based platfrom providing travellers, communtory, hotels, bifes, restaurants and online content providors, a simple, yet effective solution for their business.",THX,15th Sep 2018,15th Oct 2018,http://www.thrill-platform.net,Slovenia,http://www.thrill-platform.net/index_htm_files/Thrill%20whitepaper%20V1.1.pdf
switzerland,,bdaq,,"Every transaction on the Bdaq platform will attract a fee paid in Ethereum (or Bdaq) and this will potentially result in rapid growth in the value of Bdaq token. Bdaq Master Node will also present huge opportunity to the Crypto investors and will add to the token value.",Bdaq,1st Oct 2018,31st Oct 2018,http://bdaq.io,Switzerland,http://bdaq.io/wp-content/uploads/2018/06/Whitepaper2852018v4.pdf
switzerland,,bgx,,"BGX created a blockchain algorithm that processes up to 100,000 transactions per second at very low costs, while maintaining decentralization and unmatched security. BGX used the algorithm to build a platform that is ideal for financial processing in a large market, reliant on microtransactions, such as the $60bn mobile games industry. BGX impressed large industry partners by lowering their financial costs threefold, by doubling the available channels of monetization, and by maximising user ARPU. BGX is the fastest, low-cost, and most secure decentralized method of payment processing.",BGX,5th Sep 2018,3rd Oct 2018,https://bgx.ai,Switzerland,https://bgx.ai/documents/BGX_White_Paper_1.0.pdf
switzerland,,elpis,1.3,"Elpis’s AI goal is to provide trading signals (specific buying and selling market orders) to every participant in both the fund and its ICO, and give the ability to perform as an expert investment manager, using a technology platform built to simulate a professionally managed fund, but in an easily comprehensible application that requires minimal to no intervention. Elpis system is already showing a 33% gain in the 3 months period, April to July (with verifiable trading signals @https://t.me/elpistrading), and lowered the draw-down risk by 3.5 times when compared to the risk of traditional investments in the S&P500. Elpis works only with avg. market performance fees and keeps verifiable transaction records on the blockchain. Elpis success formula: Real Time Data Analysis + Ai recognition of past patterns - Human Emotions = Performance Optimisation.",ELP,6th Aug 2018,11th Oct 2018,https://elpisinvestments.com,Switzerland,https://elpisinvestments.com/user/pages/pdf/White%20Paper%20-%20EN.pdf
switzerland,,energy premier,,"Energy Premier is a blockchain & cloud-based electricity retail bidding platform. Mission is to provide energy suppliers with direct & fair access to the retail energy market utilizing blockchain, while providing better prices to consumers Advanced token-based electricity bidding platform Allows energy suppliers to bid prices for consumers, with knowing the consumer's energy profile Direct & transparent access With a mission to cheaper electricity - same for all users, transparent pricing and direct market access Fast process & low cost While driving market access for sellers, it also drives streamline process and user friendliness for customers",EPC,21st Sep 2018,31st Oct 2018,https://tokensale.energypremier.com,Switzerland,https://tokensale.energypremier.com/whitepaper.pdf
switzerland,,globecas,,"GlobeCas provides solutions to simplify the process of land-based casinos making the move to an online format while minimizing the cost. Holding the most authoritative and comprehensive gambling licence among all betting ICOs and also the most experienced in the gambling industry. The WIN-WIN situation will lead GlobeCas Token, GCT, to the mainstream in the gambling industry. Grouping global casinos to offer real amusements without boundaries. Join the biggest ever revolution of the Casino and Gambling Industry.",GCT,11th Sep 2018,24th Oct 2018,https://www.globecas.com/showcase/index,Switzerland,https://www.globecas.com/file/en_US/globecas_whitepaper.pdf
switzerland,,hihealth,0.18,"The global ecosystem analyst - the date broker of personal medical data based on artificial intelligence and blockchain technologies.The personal ecosystem for diagnosing a human body in real time.Finds sources, patterns of development of different diseases and prevents future illnesses.",HiH,1st Aug 2018,10th Oct 2018,https://www.hihealth.io,Switzerland,https://hihealth.io/assets/_HiHealthWPv0.1ENG.pdf
switzerland,,idm,,"IDM has its own patented data protection technology called SIZE and is preparing to launch a new service - a global decentralized ecosystem that connects users who want to store information safely and miners who provide memory on their devices to generate income. Our development team has created a working prototype of a cloud storage service called BoobookBox. The service was launched in 2015 and has more than 2 thousand active users. The working prototype was launched to test the technology, both by developers and third-party organizations. IDM can successfully compete with all cloud data storage services, as it offers following exclusive features: o The most safe and secure data storage system and data transmission o Affordable price o The only player on the market offering this level of data protection o Savvy marketing strategy o Legal guarantee on data security IDM focuses on strictly defined segments of the consumer and business market, and takes advantage of a competitive market opportunity, namely the demand for secure data storage.",IDM,4th Jun 2018,4th Oct 2018,https://myidm.io,Switzerland,https://myidm.io/img/doc/wp_en.pdf
switzerland,,kryptopal,,"KryptoPal is a development platform for mass Blockchain adoption. It helps developers to bootstrap Blockchain development by providing free infrastructure with full nodes, live multi-purpose smart contracts and a suite of fully developed APIs. Developers can build different types of applications and connect to the decentralized world easily. KryptoPal is ready to launch a suite of tools and resources that developers can use in their native programming languages to integrate with blockchains or create decentralized applications. When the KryptoPal platform is used for an existing application: the application is instantly connected to the Ethereum blockchain, the application is connected with the other applications in the global network, app users are enabled to interact with each other to perform cryptocurrency transactions.",KPX,8th Aug 2018,6th Oct 2018,https://kryptopal.io,Switzerland,https://kryptopal.io/wp-content/uploads/2018/07/Whitepaper.pdf
switzerland,,orch network,37.0,"Unlike Ethereum smart contracts with a history of repeated hacks and stolen funds, hundreds and millions of dollars, Orch.network ensures that no runtime errors or intentional/unintentional bugs can be used as exploits to steal funds and corrupt Orch.network cyber contracts. Orch.network is an engine for launching numerous next-generation decentralized applications such as scalable decentralized organizations (DAOs), decentralized exchanges (DEXs), automated hedge funds and darkpools and so on. Orch (symbol: ORC) is the native token of Orch.Network decentralized platform for Turing Incomplete cyber contracts running on a realtime unforkable blockchain federation called StarCash. User and developers will need minimum lot of 100,000 ORC tokens to test and power their applications such as Unmanned decentralized exchanges(DEXs), Crypto-darkpools, Decentralized DNS Clusters and decentralized realtime gaming and casinos. This will most likely be the primary driver of demands for ORCH.Network.",ORC,12th Sep 2018,18th Oct 2018,https://orch.network,Switzerland,https://orch.network/static/docs/whitepaper.pdf
switzerland,,pigzbe,7.2,"Pigzbe uses the blockchain to make money transfers within families borderless, safe, and instant. By unlocking the potential of globalised families as micro-financing networks, Pigzbe teaches children about money in the 21st century.",WLO,5th Sep 2018,31st Oct 2018,https://www.pigzbe.com,Switzerland,https://pigzbe.com/pdf/pigzbe_whitepaper.pdf
switzerland,,qiibee,8.46,"qiibee is revolutionizing the loyalty industry with the latest technological innovations. By bringing loyalty programs to the blockchain, it is able to help brands and retailers reduce inefficiencies while offering customers real-life value in exchange for their points.",QBX,24th Sep 2018,24th Oct 2018,https://qiibee.com/tokensale,Switzerland,https://static.qiibee.com/qiibee-White-Paper.pdf
switzerland,,swiss alps mining,10.529563,"We are connecting the world of blockchain with the Swiss mountains. We offer environmentally friendly mining in unused buildings in the Swiss alps, reducing power consumption by up to 50% thanks to natural climate conditions and an ORC power recovery system.",SAM,1st Oct 2018,29th Oct 2018,https://swissalpsmining.io/en/home,Switzerland,https://swissalpsmining.io/pdf/whitepaper.pdf
switzerland,,swiss alps miningsto,10.529563,"We are connecting the world of blockchain with the Swiss mountains. We offer environmentally friendly mining in unused buildings in the Swiss alps, reducing power consumption by up to 50% thanks to natural climate conditions and an ORC power recovery system.",SAM,1st Oct 2018,29th Oct 2018,https://swissalpsmining.io/en/home,Switzerland,https://swissalpsmining.io/pdf/whitepaper.pdf
switzerland,,zeon network,11.03,"What problems our foundation will solve? Scaling transaction rates to 100,000 Tx/s (sharding), investments in crypto with minimal risks, cross-chain trading and mass adoption. The cornerstone in ZEON's design is the idea of sharding - dividing the network into smaller shards. Our blockchain provides creating PoS 3.0 token with an annual return. ZEON's design allows its transaction rates to roughly increase with every few hundred nodes added to its network. Fast, free, secure, truly anonymous or public [you choose] transactions. Holding ZNC and making exchanges with coins/alts by Mediator. Cross-chain trading provides our users the ability to sell and buy crypto on exchanges in milliseconds. The world's 1st token with oracle system. Participation in ICOs/Crypto projects in current day are risky. Till now you control project by voting and decide to increase or decrease a tap of funding. DAO.",ZNC,8th Jun 2018,1st Oct 2018,https://zeon.network,Switzerland,https://zeon.network/whitepaper.pdf
UK,,baanx.com,7.5,"Baanx has a lending site, an OTC Exchange and Secure Wallet. We are launching: - Mobile Cryptobank App (see baanx.com for the prototype) - Wallet insurance - Cryptopay - Exchange integration to give users the best prices always - Custody Solution to safely store large amounts of crypto in cold storage Post-launch Baanx allows partners to issue our technology with their name on it as well to increase our users, they can also share our bank licenses. Ultimately, using smart contracts, AI and automation we will develop the platform further to allow users to become owners and launch their own Cryptobanks - with all back office needs managed for them all they will need to do is market to users, and watch their Bank grow. Changing the banking world forever. The Baanx BXX token is used in all functions, from payments, transaction and exchange integration fees - lending and investments. Loyalty bonus tokens will be issued to those holding tokens long term - in order to reward supporters.",BAANX,1st Sep 2018,31st Oct 2018,https://baanx.com,UK,https://wallet.baanx.com/docs/whitepaper-en-1527176250.pdf
UK,,bitmillex,,"Designed to be the world’s most secure and complete cryptocurrency exchange, Bitmillex is developed by experienced traders and experts in cybersecurity and the use of blockchain financial solutions, to create customized and tangible solutions to the demands of various categories of traders and investors; and aggregate these solutions into a most unique and extra-ordinary trading platform.",BTML,27th Jun 2018,4th Oct 2018,http://bitmillex.com,UK,https://bitmillex.com/pdf/whitepaperv2.pdf
UK,,blockkonnect,,"Blockkonnect is the worlds first blockchain technology and social network platform connecting crypto related people and uniting them under one roof. Blockkonnect is the first ultimate solution ever which provides you with tonns of features you ever wanted on a single platform. You'll find people with similar interests as yours,such as blockchain technology and cryptocurrency. Blockkonnect provides you a golden opportunity to monetize your own posts and comments to turn your passion into money, similar to something like AdSense in YouTube. We have a strong belief that we will remain top in this sector forever, as our concept is unique. No other social platform provides you such an easy way for monetization.",XBT Token,20th Aug 2018,17th Oct 2018,https://www.blockkonnect.com,UK,https://www.blockkonnect.com/docs/whitepaper.pdf
UK,,cryptov8,,"Cryptov8 will be a UK domiciled and authorised bank using blockchain technology to bridge the gap between cryptobanking and traditional banking products and services. Our technology platforms and digital assets will improve adoption and usage of cryptocurrencies globally. The Cryptov8 project extends far beyond any existing ‘CryptoBanking’ services that exist today. Not only will we have a universal account and wallet, our project aims to streamline challenges that customers often face, which will ultimately create the best possible route for adoption of cryptocurrencies. We intend to bridge these currently disparate worlds to provide our customers with the widest options and first class customer service.",CRV8,24th Aug 2018,20th Oct 2018,https://www.cryptov8.com,UK,https://www.cryptov8.com/wp-content/uploads/2018/06/Cryptov8_White_Paper_v1.3.2.pdf
UK,,digiters network,,"Digiters is the world first blockchain-based decentralized eco system which facilitates global manufacturing industry & improve its quality. Our platform aims to create tokenised link between manufacturing chain. We use blockchain’s decentralised ledger technology to build a direct link between the business using Smart Contacts. This has enabled us to remove the middle layers. It is a complete reinvention of the global manufacturing market model.",DGT ( Digiters),1st Oct 2018,31st Oct 2018,https://digiters.net,UK,
UK,,egold,,"EGold is a blockchain-based platform that uses GOLD digital assets, which are 100% backed by delivery futures or physical gold. This means that one GOLD costs the same as one ounce of gold on the Chicago Mercantile Exchange. EGold stores physical gold in US Federal Reserve System banks and in Singapore SGPMX custodians, and with the intention that its gold reserves should constantly support or exceed the number of GOLD assets it has in circulation.",EGD,1st Aug 2018,1st Oct 2018,https://egold.trade,UK,https://drive.google.com/open?id=1uVgZzJmOYOpta0Jhj6w3HP9SRV1guSAK
UK,,exmo coin,,"EXMO, one of the leading cryptocurrency exchange platforms, is launching a token sale to support the ambitious goal of adding a Margin Loan service to its platform.",EXO,10th Sep 2018,10th Oct 2018,https://crowdsale.exmo.com_com&utm_medium=referral&utm_campaign=listing,UK,https://blspace.nyc3.digitaloceanspaces.com/crowdsale.exmo.com/whitepaper/exmo_crowdsale_whitepaper_en.pdf
UK,,freestart,,"The industry of startups and ICO projects is gaining momentum, many ICO projects attract funding for beautiful "Landings" and "empty" promises, and in most cases, the ICO project is not technically able to create the steps promised in the Roadmap, and unfortunately, the investor has already can not affect the situation in any way, and his voice will no longer be heard! Analysing this problem, before the launch of ICO, we decided to create a block network FRScoin (one of the best DPoS algorithm), FRSwallet, a mobile application with Messenger function, ICO Listing, Multiwallet and FReeStart exchange. Immediately after the end of the ICO, FRScoin tokens created on the basis of ETH will be exchanged for the basic FRScoin crypto currency created on the standalone project blockchain.",FRS,1st Sep 2018,19th Oct 2018,http://frscoin.com,UK,https://frscoin.com/downloads/White_Paper_FRS_EN.pdf
UK,,fxpay,15.0,"Our goal is to address the current inefficiencies within the market and to provide cost-saving solutions to brokers, traders, and liquidity providers. By utilizing blockchain technology, FXPay can intelligently reduce the risk for brokers and traders by providing more opportunities and increase the speed of transactions in the Forex market. FXPay is proud to bring our initial coin offering to the market and to allow investors to become part of our exciting new product and journey. The FXPay platform will immediately start addressing the issues within the current Forex market. Our proposed solution will demonstrate the tangible value of the FXP token.",FXP,1st Aug 2018,31st Oct 2018,https://fxpay.io,UK,https://fxpay.io/pdf/WhitePaper-FXpay-page.pdf
UK,,gazellefund,,"Cryptocurrency exchange with loss compensation and profit distribution between GZA token holders. A brand new cryptocurrency exchange with daily profit distribution between GZA token holders and compensation of losses during trading. Economic model developed by our experts and calculated to the last detail, will be able to return you almost all your losses, up to 100%. Gazellefund.trade creates the necessary conditions for transparency, convenience and simplicity with minimal risks for traders. With the Gazellefund.trade risks associated with trading are decreasing, allowing traders to save finances in case of errors. Asset management also available for cryptocurrency newbies who doesn't have trading knowledge.",GZA,27th Sep 2018,29th Oct 2018,http://gazellefund.trade,UK,https://tinyurl.com/yab353qh
UK,,jsecoin,0.1115,"JSEcoin is a consumer focused web platform built on top of a browser mined blockchain. We looked at the excessive power usage of traditional cryptocurrencies and created a way to use surplus resources, inside existing web browsers, to power blockchain technology. The live JSEcoin platform includes a suite of tools for webmasters to integrate cryptocurrency with their websites.",JSE,11th Jul 2018,11th Oct 2018,https://jsecoin.com,UK,https://jsecoin.com/whitepaper.pdf
