cat1,cat2,name,raised,desc,ticker,start,end,www
russia,,crypto noda,,"Crypto Noda is the first automated hosting service for connection, activation, analytics and maintenance of masternode. The idea of the project is simple and clear - the creation of an automated hosting service that allows you to connect any masternode in a couple of clicks. And most importantly, the activation of the masternode unlimited number of coins is completely free, without premature fees. In turn, the service will work exclusively on % of the net profit of partners.",CNOD,27th Aug 2018,31st Dec 2018,https://cryptonoda.online?utm_source=ico.tokens-economy.com,Russia,
switzerland,,mt pelerin,2.0,"At Mt Pelerin, we believe that an evolution of banking is long overdue. With the global enthusiasm for FinTech and the ever growing success of blockchain technologies, we now have all the right tools to make this evolution happen. We ambition to design a fully regulated and compliant bank on blockchain in Geneva, Switzerland. Our key concept is the tokenization of the entire balance sheet of the bank, making the use of smart contracts on any asset possible. Implemented around a modular and open platform, comprehensive banking services will be delivered as marketplaces where the trade of tokenized assets will be possible with unprecedented liquidity, transparency and efficiency. This will also let us heavily reduce operational costs compared to traditional banks, while radically democratizing the access to assets and investment opportunities. Being open to services from other financial institutions in order to bring more choice to our customers and a healthier competition, our marketplaces will be the bridge we have envisioned. Our business model is also designed to keep 100% of our clients’ current accounts in reserve, acting as a custodian bank, in a fully transparent manner. In this way, they will know that their assets are safe with us and not leveraged for our profit. Instead, revenue will be driven from value-adding and innovative services offered on our marketplaces.",MPS,30th Oct 2018,15th Dec 2018,https://www.mtpelerin.com?utm_source=ico.tokens-economy.com,Switzerland,
USA,,geneos,,"genEOS exploits an innovative model to achieve transparent and fair token distribution. A US-based non-profit organization will administer the funds generated and manage the token distribution process, securing legal and regulatory compliance and ensuring the genEOS project is transparent and a great opportunity for business.",genEOS,26th Jun 2018,23rd Dec 2018,https://geneos.io/?utm_source=ico.tokens-economy.com,USA,
USA,,bonafi,,"Authenticating the Supply Chain Using Blockchain Technology. By integrating the Crypto-Tag™ and Mobile Application with Blockchain technology, we are empowering Brands, Retailers, and Consumers the ability to fight against counterfeit products.",BONA,5th Nov 2018,23rd Dec 2018,https://www.bonafi.io?utm_source=ico.tokens-economy.com,USA,
USA,,gramarye media,,"We’re the first cross-media studio — complete with content development, production, and distribution — on the east coast. Our core focus is mitigating risk, reducing costs, and opening new revenue streams for story franchises.",Mythos,1st Oct 2018,31st Dec 2018,https://www.gramaryemedia.com?utm_source=ico.tokens-economy.com,USA,
malta,,lxdx,,"LXDX is the crypto derivatives exchange. We give you access to institutional liquidity with products you can’t get anywhere else. LXDX uses Smart Routing and our proprietary matching engine to secure the best-priced trades across all exchanges. Ultra-low latencies of 10 microseconds or less for full system in-and-out execution facilitate the tightest available bid-ask spreads on the market today. Our software runs on our proprietary hardware with both Level 3 market data distribution and support for colocation. This means that individual users can execute millions of trades per second across thousands of pairs. Our technology was developed by a team with decades of experience building trading infrastructure for traditional capital markets. Our mission is to bring innovative financial products to retail crypto investors, providing access to the same speed and scalability that institutional investors already depend on us to deliver each and every day. With LXDX, retail investors on our platform get all the advantages of institutional-grade tech and security. We're releasing 5 million tokens that represent a 10% share in the company and dividend rights to 10% of adjusted gross revenue.",LXDX,5th Nov 2018,5th Dec 2018,http://lxdx.co?utm_source=ico.tokens-economy.com,Malta,
estonia,,cyber capital invest,,"Today Crypto Currency is becoming mainstream. As a result, the profits to be made from trading Cryptocurrency have become very well known, through friends, colleagues and the media. Stories of people turning a small piece of capital into exponential growth, a large nest egg, by investing in and trading Cryptocurrency. Although Crypto is becoming mainstream there is still an enormous amount of the population who don’t fully understand how it works and how to use it. People who don’t know how to setup a Crypto wallet, buy currency, read the market signs, in order to know when to trade. The Cyber Capital Invest mission is to offer our users the most flexible and secure cryptocurrency investment fund with a highly profitable business model.",CCI,12th Nov 2018,3rd Dec 2018,http://www.cybercapitalinvest.io/?utm_source=ico.tokens-economy.com,Estonia,
estonia,,cindx,3.86884,"CINDX provides a platform that allows investor to choose a manager for his or her portfolio and securely trade cryptocurrencies, for a reasonable success fee. Using CINDX, investors can now access a range of verifiable, transparent statistics pertaining to individual managers in order to choose a suitable trading strategy. Investors don't have to transfer assets to the platform and charged only with success fee. Proficient managers get rewards and higher success fee rate. vendors provided with SDK to build trading and analytical products and marketplace to sell them without transferring code behind the product.",CINX,8th Oct 2018,26th Dec 2018,https://cindx.io/d?utm_source=ico.tokens-economy.com,Estonia,
australia,,unchainet,0.1,"Unchainet is a decentralized heterogeneous cloud network designed by a team of core developers with 75+ years of combined experience including extensive experience in cloud computing. Unchainet's platform targets the niche market for dApp developers and cloud computing users. Unlike existing distributed cloud solutions, Unchainet's application layer sits on our native blockchain making it both an IaaS/PaaS protocol. Our reputation blockchain allows users to access quality providers and allows reliable sellers to seamlessly monetize their server grade computing resources.",UNET,27th Aug 2018,31st Dec 2018,https://www.unchainet.com/?utm_source=ico.tokens-economy.com,Australia,
Cayman-Islands,,br11,,"BR11 is a Security Token legally backed by equity in 11 high-growth revenue generating startups. BR11 is one of the first security tokens in the market and probably the first to be a tokenized VC fund with a pre-selected portfolio of 11 companies. Unlike 98% of the ICOs, which are pre-operational with no revenue, 90% of these companies already have fully-ready products, product-market fit, are generating revenue and growing fast. BR11 opens an investment opportunity to a much broader audience that otherwise would not be able to invest in a traditional venture capital fund, specially in Latin American assets. The 11 BR11 companies were handpicked from a portfolio of over 450 startups, all of which have received investments from either Bossa Nova, Brazil’s largest pre-seed investor by number of active investments, and/or ACE, Latin America's best performing startup accelerator. The token is legally bond to the company in Cayman that holds the equity in each startup, therefore providing a much lower risk to Tokenholders if compared to conventional ICOs that are not linked to any underlying assets. BR11 is a tokenized venture capital fund without a lockdown period. Unlike traditional VC funds that demand investors to be locked for years, BR11 token-holders will be able to trade their tokens in the secondary market from the first days after token issuance. All this characteristics offers crypto investors an opportunity to diversify their investments in real high-growth potential assets with a legally reliability unseen in Utility Tokens and/or conventional ICOs. We believe that we have the best from both worlds: the opportunities of the VC market and the global access & liquidity of the crypto markets.",BR11,21st Nov 2018,1st Dec 2018,https://br11.io?utm_source=ico.tokens-economy.com,Cayman Islands,
