cat1,cat2,name,raised,desc,ticker,start,end,www
Artificial Intelligence,,epigencare,0.036701,"EpigenCare is connecting consumers with skincare companies through a direct-to-consumer skincare test and web platform on the Ethereum network. Consumers will be able to receive actionable recommendations of optimized skincare products to use, as well as assess the progress of their skincare routines, based on their skin's epigenetic profiles. A reward mechanism is implemented to encourage recurring tests and create transaction records on the blockchain ledger. This tokenization of data allows consumers to verify that their data is used solely for their own benefit in the structured ecosystem, solving the problem of perceived instrusiveness associated with personal tests requiring consumer DNA.",EPIC,16th Apr 2018,31st Jul 2018,https://www.epigencare.com/?utm_source=ico.tokens-economy.com,USA,
Artificial Intelligence,,shipnext,,"SHIPNEXT Supply Chain is a algorythm based decentralized transport related ecosystem, providing for efficiency, scalability, transparency, security and reliability of commercial relationship, smart contracts and transactions. As part of the smart contract-based relationship within the supply chain ecosystem, SHIPNEXT will provide a number of solutions for transactions, executed with the use of SHIP TOKEN, issued by banks and financial institutions which take part in the ecosystem. SHIP COIN, a security token, is an investment tool to participate in the SHIPNEXT SUPPLY CHAIN, and enabling it to grow, expeland into other modes of transport and sections of the supply chain, building a critical mass of the ecosystem community and participating in its revenue.",SHPC,30th Oct 2018,15th Mar 2019,https://shipnext.io?utm_source=ico.tokens-economy.com,Singapore,
Artificial Intelligence,,sports ledger,,"A revolutionary token that will empower a revolution in the world of sports, allowing users to access an innovative, data-driven platform that utilizes the latest advancements in Artificial Intelligence, Blockchain and Smart Contracts. SPSL will serve as the platform’s utility token, providing access to a variety of services and rewarding users who contribute towards the success of the ecosystem.",SPSL,27th Dec 2018,21st Feb 2019,https://www.sportsledger.io?utm_source=ico.tokens-economy.com,UK,
Banking,,br11,,"BR11 is a Security Token legally backed by equity in 11 high-growth revenue generating startups. BR11 is one of the first security tokens in the market and probably the first to be a tokenized VC fund with a pre-selected portfolio of 11 companies. Unlike 98% of the ICOs, which are pre-operational with no revenue, 90% of these companies already have fully-ready products, product-market fit, are generating revenue and growing fast. BR11 opens an investment opportunity to a much broader audience that otherwise would not be able to invest in a traditional venture capital fund, specially in Latin American assets. The 11 BR11 companies were handpicked from a portfolio of over 450 startups, all of which have received investments from either Bossa Nova, Brazil’s largest pre-seed investor by number of active investments, and/or ACE, Latin America's best performing startup accelerator. The token is legally bond to the company in Cayman that holds the equity in each startup, therefore providing a much lower risk to Tokenholders if compared to conventional ICOs that are not linked to any underlying assets. BR11 is a tokenized venture capital fund without a lockdown period. Unlike traditional VC funds that demand investors to be locked for years, BR11 token-holders will be able to trade their tokens in the secondary market from the first days after token issuance. All this characteristics offers crypto investors an opportunity to diversify their investments in real high-growth potential assets with a legally reliability unseen in Utility Tokens and/or conventional ICOs. We believe that we have the best from both worlds: the opportunities of the VC market and the global access & liquidity of the crypto markets.",BR11,21st Nov 2018,1st Dec 2018,https://br11.io?utm_source=ico.tokens-economy.com,Cayman Islands,
Banking,,mt pelerin,2.0,"At Mt Pelerin, we believe that an evolution of banking is long overdue. With the global enthusiasm for FinTech and the ever growing success of blockchain technologies, we now have all the right tools to make this evolution happen. We ambition to design a fully regulated and compliant bank on blockchain in Geneva, Switzerland. Our key concept is the tokenization of the entire balance sheet of the bank, making the use of smart contracts on any asset possible. Implemented around a modular and open platform, comprehensive banking services will be delivered as marketplaces where the trade of tokenized assets will be possible with unprecedented liquidity, transparency and efficiency. This will also let us heavily reduce operational costs compared to traditional banks, while radically democratizing the access to assets and investment opportunities. Being open to services from other financial institutions in order to bring more choice to our customers and a healthier competition, our marketplaces will be the bridge we have envisioned. Our business model is also designed to keep 100% of our clients’ current accounts in reserve, acting as a custodian bank, in a fully transparent manner. In this way, they will know that their assets are safe with us and not leveraged for our profit. Instead, revenue will be driven from value-adding and innovative services offered on our marketplaces.",MPS,30th Oct 2018,15th Dec 2018,https://www.mtpelerin.com?utm_source=ico.tokens-economy.com,Switzerland,
Banking,,nexo,52.5,"Nexo is powered by A Leading FinTech Group serving millions of people across Europe for over 10 years. Strong 50k+ Telegram Community. Dividend Token.",NEXO,1st Apr 2018,1st Apr 2018,https://nexo.io?utm_source=ico.tokens-economy.com,Switzerland,
Big Data,,dezos,,"We present you the DEZOS Ecosystem. DEZOS fight against crime like theft, fraud & conterfeiting. We bridges the gap between the traditional prosecution and asset protection and are the new world and home of trust.",DOS,1st Jan 2019,31st Jan 2019,https://dezos.io?utm_source=ico.tokens-economy.com,Switzerland,
Big Data,,smart containers,15.42,"Smart Containers Group is a Swiss high-tech container provider aiming to create the first fully autonomous container based on blockchain technology, consequently disrupting the logistics industry. Blockchain-based software and an IoT infrastructure is the core of Smart Containers Group strong technological ground, enabling to track and monitor each container around the world and making Smart Containers Group the largest provider of IoT airfreight containers on the market. The combination of hardware, software and service enables Smart Containers Group to assertively position its division company SkyCell among the top four providers of pharma containers in the industry. Through the FoodGuardians division, the next generation of reusable containers and boxes to transport temperature sensitive food products will be offered regionally and globally, preserving the product’s freshness and traceability. Using blockchain as transformative technology in logistics, Smart Containers Group is driven by the opportunity to create the LOGI CHAIN, a fully integrated, seamless logistic ecosystem that will be accessible to all industry players at minimal cost. Therefore, Smart Containers Group will lead the way towards a more efficient, client-centric and cost-effective industry standard.",SMARC,7th Jun 2018,30th Jun 2018,https://smartcontainers.ch/?utm_source=ico.tokens-economy.com,Switzerland,
Business services,,cryptune,1.5,"US company Cryptune LLC, is set to disrupt the Point of Sale Software & Hardware industry with a fully integrated cryptocurrency payment Universal Point of Sale System Inventory control, sales tracking, real time reporting functionality, text message alerts, easy to use customer contact capabilities and so much more. Cryptune’s proprietary hardware and software POS system will also allow for the acceptance of over 1000 different cryptocurrencies, including the CPT Reward Token — via a strategic partnership with industry pioneer Coinpayments — bringing the POS market into the next wave of IoT and the web 3.0. By combining Point-of-Sale system experts with transaction, network security and cryptocurrency experts, Cryptune is creating a state-of-the-art solution to retail and restaurant owners across the globe.",CPTS,15th Nov 2018,11th Feb 2019,https://www.cryptune.io?utm_source=ico.tokens-economy.com,USA,
Business services,,science blockchain,12.298073,"We want to use our expertise at company building to help what we anticipate will be the best blockchain entrepreneurs build the software giants of the next century. We believe our token holders should benefit from access to a stream of new tokens from our carefully incubated portfolio companies. In turn, investors should as a result, participate in any upside from ownership of the Science Tokens, as the proceeds from acquisition of portfolio companies are used to repurchase those tokens on the open market.",SCI,9th Oct 2017,9th Nov 2017,https://science.tokenhub.com/?utm_source=ico.tokens-economy.com,USA,
